"external_gene_name","ensembl_gene_id","gene_biotype","entrezgene_id","chromosome_name","Bait"
"SELENOS","ENSG00000131871","protein_coding",55829,"15","SARS-CoV2 nsp7"
"SEPSECS","ENSG00000109618","protein_coding",51091,"4","SARS-CoV2 nsp8"
"SIGMAR1","ENSG00000147955","protein_coding",10280,"9","SARS-CoV2 nsp6"
"SIL1","ENSG00000120725","protein_coding",64374,"5","SARS-CoV2 orf8"
"SIRT5","ENSG00000124523","protein_coding",23408,"6","SARS-CoV2 nsp14"
"SLC25A21","ENSG00000183032","protein_coding",89874,"14","SARS-CoV2 M"
"SLC27A2","ENSG00000140284","protein_coding",11001,"15","SARS-CoV2 nsp2"
"SLC30A6","ENSG00000152683","protein_coding",55676,"2","SARS-CoV2 orf9c"
"SLC30A7","ENSG00000162695","protein_coding",148867,"1","SARS-CoV2 M"
"SLC30A9","ENSG00000014824","protein_coding",10463,"4","SARS-CoV2 M"
"SLC44A2","ENSG00000129353","protein_coding",57153,"19","SARS-CoV2 E"
"SLC9A3R1","ENSG00000109062","protein_coding",9368,"17","SARS-CoV2 orf9b"
"SLU7","ENSG00000164609","protein_coding",10569,"5","SARS-CoV2 nsp12"
"SMOC1","ENSG00000198732","protein_coding",64093,"14","SARS-CoV2 orf8"
"SNIP1","ENSG00000163877","protein_coding",79753,"1","SARS-CoV2 N"
"SPART","ENSG00000133104","protein_coding",23111,"13","SARS-CoV2 nsp9"
"SRP19","ENSG00000153037","protein_coding",6728,"5","SARS-CoV2 nsp8"
"SRP54","ENSG00000100883","protein_coding",6729,"14","SARS-CoV2 nsp8"
"SRP72","ENSG00000174780","protein_coding",6731,"4","SARS-CoV2 nsp8"
"STC2","ENSG00000113739","protein_coding",8614,"5","SARS-CoV2 orf8"
"STOM","ENSG00000148175","protein_coding",2040,"9","SARS-CoV2 M"
"STOML2","ENSG00000165283","protein_coding",30968,"9","SARS-CoV2 orf3b"
